sku,nama_artikel,ukuran,ongkos_produksi_disepakati
TS-POLOS-BLACK-S,"Basic Black",S,55000
TS-POLOS-BLACK-M,"Basic Black",M,55000
TS-POLOS-BLACK-L,"Basic Black",L,55000
TS-POLOS-BLACK-XL,"Basic Black",XL,55000
TS-POLOS-BLACK-XXL,"Basic Black",XXL,60000
TS-POLOS-BLUE-S,"Basic Blue Ocean",S,55000
TS-POLOS-BLUE-M,"Basic Blue Ocean",M,55000
TS-POLOS-BLUE-L,"Basic Blue Ocean",L,55000
TS-POLOS-BLUE-XL,"Basic Blue Ocean",XL,55000
TS-POLOS-BLUE-XXL,"Basic Blue Ocean",XXL,60000
TS-POLOS-DARKGREY-S,"Basic Dark Grey",S,55000
TS-POLOS-DARKGREY-M,"Basic Dark Grey",M,55000
TS-POLOS-DARKGREY-L,"Basic Dark Grey",L,55000
TS-POLOS-DARKGREY-XL,"Basic Dark Grey",XL,55000
TS-POLOS-DARKGREY-XXL,"Basic Dark Grey",XXL,60000
TS-POLOS-MAROON-S,"Basic Maroon",S,55000
TS-POLOS-MAROON-M,"Basic Maroon",M,55000
TS-POLOS-MAROON-L,"Basic Maroon",L,55000
TS-POLOS-MAROON-XL,"Basic Maroon",XL,55000
TS-POLOS-MAROON-XXL,"Basic Maroon",XXL,60000
TS-POLOS-MISGREY-S,"Basic Misty",S,55000
TS-POLOS-MISGREY-M,"Basic Misty",M,55000
TS-POLOS-MISGREY-L,"Basic Misty",L,55000
TS-POLOS-MISGREY-XL,"Basic Misty",XL,55000
TS-POLOS-MISGREY-XXL,"Basic Misty",XXL,60000
TS-POLOS-MUSTARD-S,"Basic Mustard",S,55000
TS-POLOS-MUSTARD-M,"Basic Mustard",M,55000
TS-POLOS-MUSTARD-L,"Basic Mustard",L,55000
TS-POLOS-MUSTARD-XL,"Basic Mustard",XL,55000
TS-POLOS-MUSTARD-XXL,"Basic Mustard",XXL,60000
TS-POLOS-SAGE-S,"Basic Sage",S,55000
TS-POLOS-SAGE-M,"Basic Sage",M,55000
TS-POLOS-SAGE-L,"Basic Sage",L,55000
TS-POLOS-SAGE-XL,"Basic Sage",XL,55000
TS-POLOS-SAGE-XXL,"Basic Sage",XXL,60000
TS-POLOS-WHITE-S,"Basic White",S,55000
TS-POLOS-WHITE-M,"Basic White",M,55000
TS-POLOS-WHITE-L,"Basic White",L,55000
TS-POLOS-WHITE-XL,"Basic White",XL,55000
TS-POLOS-WHITE-XXL,"Basic White",XXL,60000
TS-CANNACHAMP-S,Champions,S,67000
TS-CANNACHAMP-M,Champions,M,67000
TS-CANNACHAMP-L,Champions,L,67000
TS-CANNACHAMP-XL,Champions,XL,67000
TS-CANNACHAMP-XXL,Champions,XXL,72000
TS-ITZA-S,"Chichen Itza",S,67000
TS-ITZA-M,"Chichen Itza",M,67000
TS-ITZA-L,"Chichen Itza",L,67000
TS-ITZA-XL,"Chichen Itza",XL,67000
TS-ITZA-XXL,"Chichen Itza",XXL,72000
TS-CIRCLE-S,Circle,S,67000
TS-CIRCLE-M,Circle,M,67000
TS-CIRCLE-L,Circle,L,67000
TS-CIRCLE-XL,Circle,XL,67000
TS-CIRCLE-XXL,Circle,XXL,72000
TSDL-ENJOYCOFFEE-S,"Enjoy Coffee",S,83000
TSDL-ENJOYCOFFEE-M,"Enjoy Coffee",M,83000
TSDL-ENJOYCOFFEE-L,"Enjoy Coffee",L,83000
TSDL-ENJOYCOFFEE-XL,"Enjoy Coffee",XL,83000
TSDL-ENJOYCOFFEE-XXL,"Enjoy Coffee",XXL,88000
TS-ENJOYTODAY-S,"Enjoy Today",S,67000
TS-ENJOYTODAY-M,"Enjoy Today",M,67000
TS-ENJOYTODAY-L,"Enjoy Today",L,67000
TS-ENJOYTODAY-XL,"Enjoy Today",XL,67000
TS-ENJOYTODAY-XXL,"Enjoy Today",XXL,72000
TSOV-GOODDDAY-S,"Everyday Is Good Day",S,80000
TSOV-GOODDDAY-M,"Everyday Is Good Day",M,80000
TSOV-GOODDDAY-L,"Everyday Is Good Day",L,80000
TSOV-GOODDDAY-XL,"Everyday Is Good Day",XL,80000
TSOV-GOODDDAY-XXL,"Everyday Is Good Day",XXL,85000
TS-GOODLIFE-S,"Good Life",S,67000
TS-GOODLIFE-M,"Good Life",M,67000
TS-GOODLIFE-L,"Good Life",L,67000
TS-GOODLIFE-XL,"Good Life",XL,67000
TS-GOODLIFE-XXL,"Good Life",XXL,72000
TS-HIGHTIMES-S,Hightimes,S,67000
TS-HIGHTIMES-M,Hightimes,M,67000
TS-HIGHTIMES-L,Hightimes,L,67000
TS-HIGHTIMES-XL,Hightimes,XL,67000
TS-HIGHTIMES-XXL,Hightimes,XXL,72000
TSDL-KEEPITGREEN-S,"Keep it Green",S,83000
TSDL-KEEPITGREEN-M,"Keep it Green",M,83000
TSDL-KEEPITGREEN-L,"Keep it Green",L,83000
TSDL-KEEPITGREEN-XL,"Keep it Green",XL,83000
TSDL-KEEPITGREEN-XXL,"Keep it Green",XXL,88000
TSDL-LGLZMRJN-S,"Legalize Maryjane",S,83000
TSDL-LGLZMRJN-M,"Legalize Maryjane",M,83000
TSDL-LGLZMRJN-L,"Legalize Maryjane",L,83000
TSDL-LGLZMRJN-XL,"Legalize Maryjane",XL,83000
TSDL-LGLZMRJN-XXL,"Legalize Maryjane",XXL,88000
TS-LGLZMRJN-S,"Legalized Maryjane Misty",S,67000
TS-LGLZMRJN-M,"Legalized Maryjane Misty",M,67000
TS-LGLZMRJN-L,"Legalized Maryjane Misty",L,67000
TS-LGLZMRJN-XL,"Legalized Maryjane Misty",XL,67000
TS-LGLZMRJN-XXL,"Legalized Maryjane Misty",XXL,72000
TS-LETSGROW-S,"Let's Grow",S,67000
TS-LETSGROW-M,"Let's Grow",M,67000
TS-LETSGROW-L,"Let's Grow",L,67000
TS-LETSGROW-XL,"Let's Grow",XL,67000
TS-LETSGROW-XXL,"Let's Grow",XXL,72000
TS-MANDALA-S,Mandala,S,67000
TS-MANDALA-M,Mandala,M,67000
TS-MANDALA-L,Mandala,L,67000
TS-MANDALA-XL,Mandala,XL,67000
TS-MANDALA-XXL,Mandala,XXL,72000
TS-MARGREY-S,"Marley Grey",S,67000
TS-MARGREY-M,"Marley Grey",M,67000
TS-MARGREY-L,"Marley Grey",L,67000
TS-MARGREY-XL,"Marley Grey",XL,67000
TS-MARGREY-XXL,"Marley Grey",XXL,72000
TS-RAGBOB-S,"Marley Raglan",S,67000
TS-RAGBOB-M,"Marley Raglan",M,67000
TS-RAGBOB-L,"Marley Raglan",L,67000
TS-RAGBOB-XL,"Marley Raglan",XL,67000
TS-RAGBOB-XXL,"Marley Raglan",XXL,72000
TS-ORGANIC-BLACK-S,"Organic Black",S,67000
TS-ORGANIC-BLACK-M,"Organic Black",M,67000
TS-ORGANIC-BLACK-L,"Organic Black",L,67000
TS-ORGANIC-BLACK-XL,"Organic Black",XL,67000
TS-ORGANIC-BLACK-XXL,"Organic Black",XXL,72000
TS-ORGANIC-GREEN-S,"Organic Green",S,67000
TS-ORGANIC-GREEN-M,"Organic Green",M,67000
TS-ORGANIC-GREEN-L,"Organic Green",L,67000
TS-ORGANIC-GREEN-XL,"Organic Green",XL,67000
TS-ORGANIC-GREEN-XXL,"Organic Green",XXL,72000
TS-POG-S,"Peace Of God",S,78000
TS-POG-M,"Peace Of God",M,78000
TS-POG-L,"Peace Of God",L,78000
TS-POG-XL,"Peace Of God",XL,78000
TS-POG-XXL,"Peace Of God",XXL,83000
TSOV-RELAX-S,"Relax Oversized",S,80000
TSOV-RELAX-M,"Relax Oversized",M,80000
TSOV-RELAX-L,"Relax Oversized",L,80000
TSOV-RELAX-XL,"Relax Oversized",XL,80000
TSOV-RELAX-XXL,"Relax Oversized",XXL,85000
TSDL-SOL-S,"Smile Leaf",S,83000
TSDL-SOL-M,"Smile Leaf",M,83000
TSDL-SOL-L,"Smile Leaf",L,83000
TSDL-SOL-XL,"Smile Leaf",XL,83000
TSDL-SOL-XXL,"Smile Leaf",XXL,88000
TS-SMILEY-S,Smiley,S,67000
TS-SMILEY-M,Smiley,M,67000
TS-SMILEY-L,Smiley,L,67000
TS-SMILEY-XL,Smiley,XL,67000
TS-SMILEY-XXL,Smiley,XXL,72000
TS-STONEDICONS-S,"Stoned Icon",S,67000
TS-STONEDICONS-M,"Stoned Icon",M,67000
TS-STONEDICONS-L,"Stoned Icon",L,67000
TS-STONEDICONS-XL,"Stoned Icon",XL,67000
TS-STONEDICONS-XXL,"Stoned Icon",XXL,72000
HOOD-TEACHPEACE-S,"Teach Peace",S,185000
HOOD-TEACHPEACE-M,"Teach Peace",M,185000
HOOD-TEACHPEACE-L,"Teach Peace",L,185000
HOOD-TEACHPEACE-XL,"Teach Peace",XL,185000
HOOD-TEACHPEACE-XXL,"Teach Peace",XXL,190000
TS-TROVIB-S,"Tropical Vibes",S,67000
TS-TROVIB-M,"Tropical Vibes",M,67000
TS-TROVIB-L,"Tropical Vibes",L,67000
TS-TROVIB-XL,"Tropical Vibes",XL,67000
TS-TROVIB-XXL,"Tropical Vibes",XXL,72000
TSLS-YINYANG-S,YinYang,S,78000
TSLS-YINYANG-M,YinYang,M,78000
TSLS-YINYANG-L,YinYang,L,78000
