brand,nama_artikel,sku_induk,ukuran,sku_turunan,ongkos_produksi_modal_diferd,harga_tagih_tm420
TM420,"Basic Black",TS-POLOS-BLACK,S,TS-POLOS-BLACK-S,50000,55000
TM420,"Basic Black",TS-POLOS-BLACK,M,TS-POLOS-BLACK-M,50000,55000
TM420,"Basic Black",TS-POLOS-BLACK,L,TS-POLOS-BLACK-L,50000,55000
TM420,"Basic Black",TS-POLOS-BLACK,XL,TS-POLOS-BLACK-XL,50000,55000
TM420,"Basic Black",TS-POLOS-BLACK,XXL,TS-POLOS-BLACK-XXL,55000,60000
TM420,"Basic Blue Ocean",TS-POLOS-BLUE,S,TS-POLOS-BLUE-S,50000,55000
TM420,"Basic Blue Ocean",TS-POLOS-BLUE,M,TS-POLOS-BLUE-M,50000,55000
TM420,"Basic Blue Ocean",TS-POLOS-BLUE,L,TS-POLOS-BLUE-L,50000,55000
TM420,"Basic Blue Ocean",TS-POLOS-BLUE,XL,TS-POLOS-BLUE-XL,50000,55000
TM420,"Basic Blue Ocean",TS-POLOS-BLUE,XXL,TS-POLOS-BLUE-XXL,55000,60000
TM420,"Basic Dark Grey",TS-POLOS-DARKGREY,S,TS-POLOS-DARKGREY-S,50000,55000
TM420,"Basic Dark Grey",TS-POLOS-DARKGREY,M,TS-POLOS-DARKGREY-M,50000,55000
TM420,"Basic Dark Grey",TS-POLOS-DARKGREY,L,TS-POLOS-DARKGREY-L,50000,55000
TM420,"Basic Dark Grey",TS-POLOS-DARKGREY,XL,TS-POLOS-DARKGREY-XL,50000,55000
TM420,"Basic Dark Grey",TS-POLOS-DARKGREY,XXL,TS-POLOS-DARKGREY-XXL,55000,60000
TM420,"Basic Maroon",TS-POLOS-MAROON,S,TS-POLOS-MAROON-S,50000,55000
TM420,"Basic Maroon",TS-POLOS-MAROON,M,TS-POLOS-MAROON-M,50000,55000
TM420,"Basic Maroon",TS-POLOS-MAROON,L,TS-POLOS-MAROON-L,50000,55000
TM420,"Basic Maroon",TS-POLOS-MAROON,XL,TS-POLOS-MAROON-XL,50000,55000
TM420,"Basic Maroon",TS-POLOS-MAROON,XXL,TS-POLOS-MAROON-XXL,55000,60000
TM420,"Basic Misty",TS-POLOS-MISGREY,S,TS-POLOS-MISGREY-S,50000,55000
TM420,"Basic Misty",TS-POLOS-MISGREY,M,TS-POLOS-MISGREY-M,50000,55000
TM420,"Basic Misty",TS-POLOS-MISGREY,L,TS-POLOS-MISGREY-L,50000,55000
TM420,"Basic Misty",TS-POLOS-MISGREY,XL,TS-POLOS-MISGREY-XL,50000,55000
TM420,"Basic Misty",TS-POLOS-MISGREY,XXL,TS-POLOS-MISGREY-XXL,55000,60000
TM420,"Basic Mustard",TS-POLOS-MUSTARD,S,TS-POLOS-MUSTARD-S,50000,55000
TM420,"Basic Mustard",TS-POLOS-MUSTARD,M,TS-POLOS-MUSTARD-M,50000,55000
TM420,"Basic Mustard",TS-POLOS-MUSTARD,L,TS-POLOS-MUSTARD-L,50000,55000
TM420,"Basic Mustard",TS-POLOS-MUSTARD,XL,TS-POLOS-MUSTARD-XL,50000,55000
TM420,"Basic Mustard",TS-POLOS-MUSTARD,XXL,TS-POLOS-MUSTARD-XXL,55000,60000
TM420,"Basic Sage",TS-POLOS-SAGE,S,TS-POLOS-SAGE-S,50000,55000
TM420,"Basic Sage",TS-POLOS-SAGE,M,TS-POLOS-SAGE-M,50000,55000
TM420,"Basic Sage",TS-POLOS-SAGE,L,TS-POLOS-SAGE-L,50000,55000
TM420,"Basic Sage",TS-POLOS-SAGE,XL,TS-POLOS-SAGE-XL,50000,55000
TM420,"Basic Sage",TS-POLOS-SAGE,XXL,TS-POLOS-SAGE-XXL,55000,60000
TM420,"Basic White",TS-POLOS-WHITE,S,TS-POLOS-WHITE-S,50000,55000
TM420,"Basic White",TS-POLOS-WHITE,M,TS-POLOS-WHITE-M,50000,55000
TM420,"Basic White",TS-POLOS-WHITE,L,TS-POLOS-WHITE-L,50000,55000
TM420,"Basic White",TS-POLOS-WHITE,XL,TS-POLOS-WHITE-XL,50000,55000
TM420,"Basic White",TS-POLOS-WHITE,XXL,TS-POLOS-WHITE-XXL,55000,60000
TM420,Champions,TS-CANNACHAMP,S,TS-CANNACHAMP-S,62000,67000
TM420,Champions,TS-CANNACHAMP,M,TS-CANNACHAMP-M,62000,67000
TM420,Champions,TS-CANNACHAMP,L,TS-CANNACHAMP-L,62000,67000
TM420,Champions,TS-CANNACHAMP,XL,TS-CANNACHAMP-XL,62000,67000
TM420,Champions,TS-CANNACHAMP,XXL,TS-CANNACHAMP-XXL,67000,72000
TM420,"Chichen Itza",TS-ITZA,S,TS-ITZA-S,62000,67000
TM420,"Chichen Itza",TS-ITZA,M,TS-ITZA-M,62000,67000
TM420,"Chichen Itza",TS-ITZA,L,TS-ITZA-L,62000,67000
TM420,"Chichen Itza",TS-ITZA,XL,TS-ITZA-XL,62000,67000
TM420,"Chichen Itza",TS-ITZA,XXL,TS-ITZA-XXL,67000,72000
TM420,Circle,TS-CIRCLE,S,TS-CIRCLE-S,62000,67000
TM420,Circle,TS-CIRCLE,M,TS-CIRCLE-M,62000,67000
TM420,Circle,TS-CIRCLE,L,TS-CIRCLE-L,62000,67000
TM420,Circle,TS-CIRCLE,XL,TS-CIRCLE-XL,62000,67000
TM420,Circle,TS-CIRCLE,XXL,TS-CIRCLE-XXL,67000,72000
TM420,"Enjoy Coffee",TSDL-ENJOYCOFFEE,S,TSDL-ENJOYCOFFEE-S,78000,83000
TM420,"Enjoy Coffee",TSDL-ENJOYCOFFEE,M,TSDL-ENJOYCOFFEE-M,78000,83000
TM420,"Enjoy Coffee",TSDL-ENJOYCOFFEE,L,TSDL-ENJOYCOFFEE-L,78000,83000
TM420,"Enjoy Coffee",TSDL-ENJOYCOFFEE,XL,TSDL-ENJOYCOFFEE-XL,78000,83000
TM420,"Enjoy Coffee",TSDL-ENJOYCOFFEE,XXL,TSDL-ENJOYCOFFEE-XXL,83000,88000
TM420,"Enjoy Today",TS-ENJOYTODAY,S,TS-ENJOYTODAY-S,62000,67000
TM420,"Enjoy Today",TS-ENJOYTODAY,M,TS-ENJOYTODAY-M,62000,67000
TM420,"Enjoy Today",TS-ENJOYTODAY,L,TS-ENJOYTODAY-L,62000,67000
TM420,"Enjoy Today",TS-ENJOYTODAY,XL,TS-ENJOYTODAY-XL,62000,67000
TM420,"Enjoy Today",TS-ENJOYTODAY,XXL,TS-ENJOYTODAY-XXL,67000,72000
TM420,"Everyday Is Good Day",TSOV-GOODDDAY,S,TSOV-GOODDDAY-S,70000,80000
TM420,"Everyday Is Good Day",TSOV-GOODDDAY,M,TSOV-GOODDDAY-M,70000,80000
TM420,"Everyday Is Good Day",TSOV-GOODDDAY,L,TSOV-GOODDDAY-L,70000,80000
TM420,"Everyday Is Good Day",TSOV-GOODDDAY,XL,TSOV-GOODDDAY-XL,70000,80000
TM420,"Everyday Is Good Day",TSOV-GOODDDAY,XXL,TSOV-GOODDDAY-XXL,75000,85000
TM420,"Good Life",TS-GOODLIFE,S,TS-GOODLIFE-S,62000,67000
TM420,"Good Life",TS-GOODLIFE,M,TS-GOODLIFE-M,62000,67000
TM420,"Good Life",TS-GOODLIFE,L,TS-GOODLIFE-L,62000,67000
TM420,"Good Life",TS-GOODLIFE,XL,TS-GOODLIFE-XL,62000,67000
TM420,"Good Life",TS-GOODLIFE,XXL,TS-GOODLIFE-XXL,67000,72000
TM420,Hightimes,TS-HIGHTIMES,S,TS-HIGHTIMES-S,62000,67000
TM420,Hightimes,TS-HIGHTIMES,M,TS-HIGHTIMES-M,62000,67000
TM420,Hightimes,TS-HIGHTIMES,L,TS-HIGHTIMES-L,62000,67000
TM420,Hightimes,TS-HIGHTIMES,XL,TS-HIGHTIMES-XL,62000,67000
TM420,Hightimes,TS-HIGHTIMES,XXL,TS-HIGHTIMES-XXL,67000,72000
TM420,"Keep it Green",TSDL-KEEPITGREEN,S,TSDL-KEEPITGREEN-S,78000,83000
TM420,"Keep it Green",TSDL-KEEPITGREEN,M,TSDL-KEEPITGREEN-M,78000,83000
TM420,"Keep it Green",TSDL-KEEPITGREEN,L,TSDL-KEEPITGREEN-L,78000,83000
TM420,"Keep it Green",TSDL-KEEPITGREEN,XL,TSDL-KEEPITGREEN-XL,78000,83000
TM420,"Keep it Green",TSDL-KEEPITGREEN,XXL,TSDL-KEEPITGREEN-XXL,83000,88000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,S,TSDL-LGLZMRJN-S,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,M,TSDL-LGLZMRJN-M,78000,83000
TM420,"Legalize Maryjane",TSDL-LGLZMRJN,L,TSDL-LGLZMRJN-L,78000,83000
